@relation 'XXXXXXL2 2'

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja_sp,windykacja}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,200,73,mezczyzna,13,910.33,1,162,48,1
splacona_cz,200,63,kobieta,13,856,1,54,48,0
splacona,371.94,52,kobieta,12,1500,1,6,1,1
windykacja,700,26,kobieta,11,1300,1,6,48,2668
odmowa,500,45,mezczyzna,11,1554.24,0,152,48,0
windykacja_sp,800,29,mezczyzna,12,1800,1,4,5,262
odmowa,200,62,kobieta,13,713.78,0,26,48,0
splacona_cz,200,74,kobieta,13,965,1,245,48,1
splacona,400,63,mezczyzna,11,2600,0,134,48,0
splacona_cz,300,77,kobieta,13,1239,1,271,48,2
splacona_cz,300,63,kobieta,16,1389,0,89,48,0
splacona_cz,200,61,kobieta,13,984,0,7,48,0
splacona_cz,600,47,kobieta,12,830.46,0,42,30,1
splacona_cz,500,62,kobieta,16,1340,1,160,48,3
splacona,500,71,kobieta,13,640,1,137,48,1
splacona_cz,200,75,kobieta,13,616,1,246,48,0
splacona_cz,300,55,kobieta,12,1009.34,0,26,42,0
splacona_cz,200,57,kobieta,16,703,1,23,48,1
odmowa,500,53,kobieta,11,1200,0,25,48,0
splacona_cz,300,70,mezczyzna,13,1426,1,75,48,0
splacona,417.53,25,mezczyzna,12,1300,1,5,20,409
splacona_cz,300,38,mezczyzna,11,2700,0,6,48,0
splacona_cz,300,53,mezczyzna,11,1700,1,36,48,1
splacona_cz,300,57,kobieta,13,1500,1,43,48,1
splacona_cz,900,58,kobieta,17,684,1,189,23,1
splacona,202.73,39,kobieta,11,2505,1,162,48,1
splacona,1500,57,mezczyzna,98,3000,1,66,48,9
splacona,600,54,kobieta,11,1300,1,65,48,11
splacona_cz,200,24,mezczyzna,12,1000,2,8,16,0
splacona_cz,500,60,kobieta,13,1000,1,65,48,1
splacona_cz,800,59,mezczyzna,11,1000,1,61,48,0
splacona_cz,1000,79,kobieta,13,2421.55,1,245,48,0
splacona_cz,400,55,kobieta,11,1172.2,1,34,48,1
splacona_cz,600,32,kobieta,11,1290,1,16,48,1
splacona,900,33,kobieta,11,2200,0,34,48,0
odmowa,200,57,kobieta,16,921.58,0,18,48,0
splacona_cz,300,61,kobieta,13,997,1,77,48,1
odmowa,400,63,kobieta,16,1279.58,0,160,48,0
splacona,500,61,kobieta,13,962,1,63,48,15
splacona_cz,300,60,kobieta,13,810,2,30,48,8
splacona_cz,400,47,mezczyzna,12,600,2,6,21,0
splacona_cz,300,57,kobieta,11,1680,1,387,48,1
splacona,400,60,mezczyzna,12,611.36,1,0,2,280
splacona_cz,265.58,61,kobieta,13,1189,1,67,48,1
splacona_cz,500,60,kobieta,13,1212,1,51,48,1
splacona_cz,400,66,kobieta,13,1137.19,1,94,48,0
splacona,300,60,kobieta,13,744.07,0,9,48,1
splacona_cz,300,45,mezczyzna,11,2100,0,48,48,0
splacona_cz,300,62,kobieta,13,1130,1,101,48,0
splacona_cz,900,58,mezczyzna,11,1510,1,165,48,1
splacona_cz,200,64,kobieta,13,802.83,1,201,48,0
splacona_cz,500,53,kobieta,16,655,1,28,48,0
splacona_cz,300,61,kobieta,13,1684,1,17,48,0
splacona_cz,1000,57,mezczyzna,13,3600,0,84,48,0
splacona_cz,235.97,66,kobieta,13,1428.55,1,136,48,0
splacona_cz,200,46,kobieta,12,990.34,0,53,19,0
splacona_cz,1000,47,kobieta,11,5800,1,52,48,0
splacona_cz,350,63,mezczyzna,13,1601.87,0,42,48,0
splacona_cz,200,49,mezczyzna,11,1400,1,11,48,0
splacona,200,52,mezczyzna,12,1210,0,4,5,20
splacona_cz,300,69,mezczyzna,13,940,1,51,48,2
splacona_cz,350,53,kobieta,17,1031,0,49,11,0
splacona_cz,1800,71,mezczyzna,13,2612,0,79,48,5
splacona_cz,300,33,mezczyzna,11,1800,1,164,48,0
splacona_cz,200,57,kobieta,16,634,0,49,48,0
splacona_cz,400,62,kobieta,13,1474.55,0,63,48,0
splacona_cz,200,29,mezczyzna,99,1393.85,0,1,0,1
splacona_cz,300,59,kobieta,13,1100,0,40,48,0
splacona_cz,300,65,kobieta,13,930,2,129,48,0
splacona,300,63,kobieta,13,1100,1,103,48,20
splacona_cz,600,49,kobieta,11,2800,1,320,48,0
splacona_cz,769.94,47,mezczyzna,11,2500,1,203,48,8
splacona_cz,500,71,mezczyzna,13,1700,1,11,48,2
splacona,200,54,mezczyzna,12,988,1,6,6,12
splacona,400,66,kobieta,13,1062,0,161,48,15
splacona_cz,400,61,mezczyzna,13,1503,1,164,48,13
splacona,400,52,kobieta,11,1300,1,31,48,11
splacona_cz,300,34,kobieta,12,1200,1,5,8,1
splacona_cz,700,74,mezczyzna,13,2098,1,197,48,2
splacona,1000,69,kobieta,13,2291,2,68,48,14
splacona_cz,300,60,mezczyzna,16,837,0,231,48,0
odmowa,250,34,kobieta,12,1040,0,0,0,0
splacona_cz,200,71,kobieta,13,730,0,565,48,0
windykacja,300,43,kobieta,12,1100,0,12,17,2664
splacona_cz,500,51,kobieta,11,1700,1,307,48,4
windykacja_sp,2000,56,mezczyzna,11,2031,1,112,48,222
splacona_cz,200,79,kobieta,13,1442.43,2,140,48,0
splacona_cz,200,46,mezczyzna,11,1360,2,118,48,0
splacona_cz,300,51,kobieta,12,1050,0,30,5,0
splacona_cz,500,65,kobieta,16,892,0,200,48,0
splacona,1130.33,47,kobieta,12,1500,1,11,15,32
splacona_cz,400,65,kobieta,13,850,1,65,48,5
splacona_cz,800,57,mezczyzna,12,2500,0,1,1,4
splacona_cz,300,65,kobieta,13,1350,0,109,48,0
splacona_cz,903.23,36,kobieta,11,1900,1,178,48,6
splacona_cz,700,52,mezczyzna,11,3200,1,189,48,0
splacona_cz,700,27,kobieta,11,2100,0,19,48,0
splacona_cz,200,55,kobieta,17,547.89,0,54,5,0
odmowa,600,21,mezczyzna,17,443.65,0,10,26,0
odmowa,700,45,mezczyzna,11,3000,0,0,48,0
splacona,400,60,kobieta,16,1411,1,64,48,17
splacona_cz,700,28,mezczyzna,12,1800,1,7,0,0
splacona_cz,300,64,kobieta,13,1210,0,137,48,6
splacona_cz,500,29,kobieta,12,1447,2,18,5,5
odmowa,300,31,kobieta,11,1515.11,0,11,48,0
splacona_cz,300,30,mezczyzna,12,1037.34,0,17,6,0
splacona_cz,200,71,kobieta,13,785,1,62,48,0
splacona,449.7,22,mezczyzna,99,980,2,8,1,384
splacona_cz,500,52,mezczyzna,11,1320,1,344,48,3
splacona_cz,200,68,kobieta,16,959.6,1,114,48,0
splacona_cz,600,46,kobieta,11,1700,1,87,48,0
splacona_cz,300,48,mezczyzna,13,3900,2,27,48,3
splacona,200,67,kobieta,13,720.19,0,91,48,0
splacona_cz,300,19,mezczyzna,99,750,1,1,4,0
windykacja_sp,500,55,kobieta,13,1425,1,16,48,465
splacona_cz,300,47,kobieta,11,1077.49,1,374,48,3
windykacja,200,37,kobieta,99,2800,2,7,0,2663
splacona_cz,600,53,mezczyzna,11,4000,2,7,48,0
splacona_cz,700,64,mezczyzna,13,2010,0,136,48,0
splacona_cz,1000,41,mezczyzna,11,2258,2,73,48,3
splacona_cz,200,20,mezczyzna,17,985,2,10,1,0
splacona_cz,392.14,62,kobieta,13,1668,2,89,48,9
windykacja_sp,441.91,52,kobieta,11,1050,1,15,48,422
splacona_cz,200,61,mezczyzna,13,1672.59,0,19,48,0
splacona_cz,200,57,mezczyzna,13,12220,0,69,48,0
splacona_cz,600,55,mezczyzna,16,588,2,425,48,2
splacona_cz,300,57,kobieta,13,611,0,138,48,0
splacona,230,61,kobieta,13,1065,1,19,48,274
splacona,400,64,mezczyzna,13,1261.6,1,51,48,0
odmowa,1000,41,mezczyzna,11,1200,0,24,48,0
splacona_cz,400,58,kobieta,13,1454.91,1,39,48,6
splacona_cz,300,21,kobieta,12,1634,0,9,0,3
odmowa,1000,76,kobieta,13,1900,0,256,48,0
splacona_cz,500,31,mezczyzna,11,2700,2,12,48,3
splacona_cz,799.84,57,kobieta,11,1680,2,68,48,1
splacona_cz,300,24,mezczyzna,12,1400,0,9,23,0
odmowa,200,31,kobieta,12,1037,0,8,5,0
splacona_cz,432.44,69,kobieta,13,1072,2,152,48,1
splacona_cz,200,57,mezczyzna,16,763.38,1,211,48,1
splacona_cz,500,53,kobieta,16,1045.6,2,9,48,0
splacona_cz,400,29,mezczyzna,11,1888.27,1,75,48,4
splacona_cz,500,38,kobieta,11,2927,0,201,48,0
splacona_cz,400,56,mezczyzna,11,1842.86,0,4,48,0
splacona,600,63,mezczyzna,13,3100,0,137,48,11
splacona_cz,300,46,mezczyzna,13,1688.82,0,97,48,0
splacona_cz,300,57,kobieta,13,1240,2,68,48,0
splacona,400,28,mezczyzna,12,900,2,15,5,8
splacona_cz,300,43,kobieta,11,1400,2,22,48,0
splacona_cz,200,74,kobieta,13,1026,2,248,48,0
splacona_cz,281.29,52,kobieta,11,1700,2,205,48,1
splacona_cz,300,60,mezczyzna,11,3000,2,212,48,1
splacona_cz,300,45,kobieta,11,763,1,91,48,0
splacona,400,42,kobieta,99,645.31,0,7,4,1
splacona_cz,300,69,kobieta,13,729.03,2,258,48,0
splacona_cz,400,61,kobieta,13,1090.14,1,73,48,0
splacona,600,61,mezczyzna,11,2458,0,146,48,0
splacona_cz,200,62,kobieta,13,714,2,222,48,0
splacona_cz,200,63,kobieta,16,1389,1,89,48,0
splacona_cz,381.29,70,kobieta,13,1291.18,2,77,48,0
splacona_cz,400,43,mezczyzna,12,1952.35,1,1,10,0
odmowa,300,58,mezczyzna,17,607.95,0,213,29,0
splacona_cz,900,59,kobieta,13,1370,1,74,48,0
windykacja_sp,300,65,kobieta,13,665.92,2,124,48,300
odmowa,300,25,mezczyzna,11,1226,0,2,48,0
splacona_cz,400,60,kobieta,13,1170,0,76,48,0
splacona,400,56,kobieta,11,1187.06,1,132,48,2
splacona_cz,400,50,kobieta,17,990,2,70,16,0
splacona_cz,500,52,mezczyzna,11,2080,2,320,48,0
splacona_cz,400,54,kobieta,12,1700,2,52,1,0
splacona,200,30,kobieta,11,1373.34,0,56,48,0
splacona_cz,200,24,kobieta,17,1200,2,164,17,0
splacona_cz,600,35,kobieta,11,2400,1,112,48,0
splacona_cz,500,58,mezczyzna,17,1485,1,142,47,0
splacona_cz,200,27,mezczyzna,12,1136.86,0,8,15,1
splacona_cz,500,60,kobieta,13,1362,2,54,48,6
windykacja,500,49,mezczyzna,11,3250,1,2,48,2658
splacona_cz,500,67,mezczyzna,16,1600,0,9,48,0
odmowa,300,54,mezczyzna,16,730,0,114,48,0
splacona_cz,426.61,49,kobieta,11,2470,2,356,48,0
windykacja,400,51,kobieta,12,1040,2,15,4,2658
splacona_cz,400,64,kobieta,13,1015,2,107,48,4
odmowa,700,34,kobieta,11,1557.5,0,185,48,0
splacona_cz,200,68,kobieta,13,1017,2,160,48,0
splacona,350,55,kobieta,17,547.89,1,54,5,13
splacona_cz,600,38,kobieta,11,1800,1,49,48,11
splacona_cz,800,32,kobieta,11,2050,0,26,48,5
splacona_cz,200,65,kobieta,13,910,2,67,48,1
splacona,200,42,mezczyzna,11,2284.23,0,300,48,0
splacona,400,50,kobieta,11,1577.42,2,205,48,11
windykacja,600,31,kobieta,12,855,2,42,18,2658
splacona,600,33,kobieta,12,1540,1,36,3,5
splacona_cz,575.74,32,mezczyzna,11,2050,2,116,48,1
splacona_cz,400,53,kobieta,11,2368.57,0,413,48,0
odmowa,300,20,kobieta,17,540.62,0,29,20,0
odmowa,1000,62,kobieta,13,1875.17,0,97,48,0
splacona_cz,500,49,kobieta,11,4900,0,8,48,0
splacona_cz,300,73,mezczyzna,13,1457,1,77,48,3
splacona_cz,200,65,kobieta,13,1216,2,140,48,0
splacona_cz,400,60,kobieta,13,1280,2,14,48,0
odmowa,400,41,kobieta,99,490.99,0,3,5,0
splacona_cz,500,48,kobieta,11,1800,2,51,48,3
odmowa,800,63,mezczyzna,13,1798.71,0,133,48,0
windykacja,600,24,mezczyzna,11,1110,0,7,48,2657
splacona,670.73,63,kobieta,13,930,2,92,48,11
windykacja,500,33,mezczyzna,11,1500,1,101,48,2656
windykacja_sp,400,33,mezczyzna,11,1033,1,34,48,303
splacona,500,60,kobieta,13,1160,1,76,48,3
splacona_cz,300,58,kobieta,13,1244.77,2,37,48,4
splacona,200,72,kobieta,13,930,2,240,48,0
splacona_cz,500,70,kobieta,13,1200,2,118,48,16
splacona_cz,600,69,mezczyzna,13,2015.55,0,109,48,5
splacona_cz,400,66,kobieta,13,1085,2,166,48,3
splacona_cz,500,30,mezczyzna,11,2700,2,62,48,2
splacona,400,34,kobieta,11,980.11,2,42,48,10
odmowa,500,19,mezczyzna,12,1139.48,0,3,17,0
splacona,200,72,kobieta,13,866.46,2,195,48,0
splacona_cz,700,58,kobieta,13,1872,2,32,48,2
splacona_cz,600,51,mezczyzna,12,2673.17,2,110,48,5
splacona_cz,400,59,kobieta,13,1400,1,52,48,0
splacona_cz,500,36,kobieta,11,1700,1,197,48,5
windykacja,400,35,mezczyzna,11,2700,1,5,48,2656
splacona_cz,500,58,mezczyzna,16,1770,2,87,48,0
splacona_cz,500.8,35,kobieta,98,4000,2,16,48,2
splacona_cz,1000,59,kobieta,11,2670,2,86,48,6
odmowa,250,73,mezczyzna,13,625.86,0,258,48,0
splacona_cz,200,26,mezczyzna,17,728,2,99,33,2
odmowa,200,66,kobieta,13,757.1,0,198,48,0
splacona_cz,200,63,kobieta,13,2113.24,1,59,48,0
splacona_cz,300,52,kobieta,16,685,0,39,48,0
splacona_cz,400,59,kobieta,11,1906.42,0,212,48,0
windykacja,281.29,56,mezczyzna,13,1561.87,1,197,48,2654
splacona_cz,200,53,kobieta,12,984.34,1,15,5,0
splacona_cz,200,70,kobieta,13,907,0,235,48,0
splacona_cz,385.97,54,kobieta,11,1721.7,2,119,48,0
splacona,300,59,mezczyzna,16,726,2,234,48,336
splacona,300,59,kobieta,13,936,2,29,48,0
splacona_cz,500,55,mezczyzna,13,1900,2,149,48,0
splacona_cz,400,56,kobieta,13,1817.24,0,15,48,0
odmowa,200,33,kobieta,98,520,0,27,48,0
windykacja_sp,850,68,mezczyzna,16,1100,2,136,48,190
splacona_cz,400,56,kobieta,11,1730.13,0,193,48,1
splacona_cz,337.64,35,kobieta,11,2709.34,2,181,48,0
splacona_cz,300,61,kobieta,13,1399.99,0,12,48,1
splacona_cz,400,44,mezczyzna,12,1963.88,1,3,2,0
splacona_cz,600,60,kobieta,13,1050,2,138,48,0
windykacja_sp,520.7,24,mezczyzna,17,926,2,53,0,400
windykacja_sp,356.68,24,mezczyzna,17,926,2,53,0,400
splacona_cz,600,43,kobieta,11,1443,2,31,48,1
splacona_cz,1000,61,kobieta,13,1820,2,67,48,0
splacona_cz,1000,73,kobieta,13,2100,2,53,48,23
splacona,200,63,mezczyzna,16,650.77,0,46,48,3
windykacja,300,59,kobieta,13,784,1,37,48,2654
splacona_cz,300,29,mezczyzna,11,1000,2,55,48,3
splacona_cz,300,59,kobieta,13,1026,2,53,48,11
splacona_cz,200,56,mezczyzna,11,1500,1,398,48,1
splacona,200,70,mezczyzna,13,1420,1,50,48,0
splacona,400,65,mezczyzna,13,1217,0,48,48,0
splacona_cz,400,52,kobieta,16,1362,2,27,48,0
splacona_cz,300,27,kobieta,11,901,1,38,48,0
splacona,400,69,mezczyzna,13,3181,0,49,48,0
odmowa,600,33,mezczyzna,11,1750,0,6,48,0
splacona,500,64,mezczyzna,13,1530,2,32,48,5
splacona_cz,200,30,kobieta,12,980,2,7,3,1
odmowa,200,23,mezczyzna,16,540.62,0,63,48,0
splacona_cz,300,43,mezczyzna,11,3217,0,271,48,0
splacona_cz,700,64,mezczyzna,13,3040,2,201,48,0
splacona_cz,200,56,kobieta,17,1100,0,25,9,0
splacona_cz,200,51,kobieta,11,932.34,2,397,48,0
splacona,300,22,mezczyzna,11,1400,0,22,48,0
odmowa,200,61,kobieta,13,1229.15,0,86,48,0
splacona_cz,450,68,mezczyzna,13,2000,2,42,48,1
splacona,200,54,kobieta,11,1077,2,183,48,0
splacona_cz,300,70,kobieta,13,865,2,126,48,0
splacona_cz,200,56,kobieta,11,983.97,0,76,48,0
splacona_cz,300,44,kobieta,11,1344.9,1,44,48,4
splacona_cz,400,60,kobieta,13,1107,0,12,48,0
splacona_cz,200,48,kobieta,11,967.64,1,321,48,4
splacona_cz,500,59,mezczyzna,11,2100,1,187,48,1
splacona_cz,200,71,kobieta,13,722.05,1,197,48,0
splacona_cz,300,46,kobieta,98,911,2,97,48,0
splacona_cz,300,26,kobieta,12,1300,1,5,6,0
splacona_cz,300,22,kobieta,12,1500,1,1,1,0
splacona_cz,300,52,kobieta,11,1400,2,161,48,5
splacona,600,80,mezczyzna,13,2547,0,194,48,0
splacona_cz,300,58,mezczyzna,16,1528,0,378,48,6
splacona_cz,300,49,kobieta,11,992.84,2,120,48,0
splacona_cz,600,59,kobieta,13,1400,2,247,48,0
splacona,250,69,kobieta,13,1294,0,121,48,0
splacona,200,52,kobieta,99,1100,1,49,0,0
splacona,800,54,mezczyzna,13,2800,1,149,48,0
splacona,300,75,mezczyzna,13,1150,0,137,48,28
splacona,300,63,mezczyzna,13,2040,1,143,48,14
splacona_cz,400,65,kobieta,13,1125,0,124,48,0
splacona_cz,300,72,mezczyzna,13,960,2,139,48,7
splacona,300,63,mezczyzna,13,1374.08,0,70,48,1
splacona,662.69,29,mezczyzna,11,2837,0,125,48,21
splacona_cz,400,65,kobieta,13,1175,0,114,48,0
splacona_cz,300,54,kobieta,16,1072.89,2,121,48,0
splacona,300,48,mezczyzna,12,1042,1,2,0,12
splacona_cz,200,36,kobieta,12,1382,1,19,5,0
splacona_cz,200,41,kobieta,11,1037.34,2,59,48,0
splacona,200,78,kobieta,13,1239.98,0,256,48,0
splacona_cz,400,46,kobieta,98,2200,2,23,48,0
splacona_cz,396.61,61,mezczyzna,13,1500,2,21,48,1
odmowa,600,36,mezczyzna,11,2002,0,62,48,0
splacona_cz,300,57,kobieta,16,634.64,1,135,48,0
splacona_cz,300,63,kobieta,13,1014,0,183,48,7
splacona_cz,200,47,kobieta,11,1493.98,1,363,48,0
splacona_cz,300,45,kobieta,12,1032,2,36,5,3
windykacja,380.59,39,kobieta,17,646,0,52,3,2650
splacona,820.86,41,mezczyzna,11,2100,1,285,48,334
windykacja_sp,356.29,56,kobieta,13,782,0,192,48,209
splacona_cz,800,56,kobieta,13,580,2,118,48,2
splacona_cz,200,36,kobieta,12,599.03,1,17,2,5
odmowa,400,62,kobieta,13,634.64,0,258,48,0
odmowa,400,65,mezczyzna,13,889.38,0,5,48,0
odmowa,700,42,mezczyzna,12,5000,0,3,3,0
splacona,300,70,kobieta,13,1000,1,62,48,0
odmowa,450,76,kobieta,13,720.08,0,243,48,0
splacona_cz,800,55,kobieta,13,3440,2,49,48,6
odmowa,200,41,kobieta,11,718.57,0,79,48,0
splacona,400,37,kobieta,11,800.51,1,17,48,13
odmowa,200,52,kobieta,11,1133.37,0,395,48,0
odmowa,500,38,kobieta,12,1520.01,0,27,41,0
splacona,499.98,35,mezczyzna,11,2200,2,84,48,18
splacona,600,49,kobieta,11,2500,1,234,48,0
splacona_cz,600,29,mezczyzna,12,1300,2,25,17,6
splacona_cz,300,54,mezczyzna,17,798.8,2,148,4,6
odmowa,500,50,mezczyzna,12,1038,0,30,17,0
odmowa,300,59,kobieta,16,799.4,0,128,48,0
splacona,400,64,mezczyzna,16,1473.04,1,165,48,3
odmowa,300,50,mezczyzna,12,670.8,0,3,5,0
splacona,500,61,mezczyzna,11,1250,2,63,48,14
splacona,300,62,kobieta,13,750,0,29,48,0
splacona_cz,300,65,mezczyzna,13,2110,2,100,48,0
windykacja_sp,400,58,kobieta,13,930,1,29,48,436
windykacja_sp,231.22,52,mezczyzna,12,1000,2,10,30,437
splacona_cz,300,58,kobieta,13,1658,2,27,48,1
splacona_cz,200,53,kobieta,16,749.28,2,63,48,2
splacona_cz,250,69,kobieta,13,1016,0,189,48,0
splacona_cz,600,50,kobieta,11,3200,2,52,48,1
splacona_cz,500,32,kobieta,11,3100,2,120,48,0
splacona_cz,400,37,kobieta,11,2700,2,120,48,0
splacona_cz,393.99,59,mezczyzna,11,2947,2,51,48,3
odmowa,300,24,mezczyzna,12,1027.22,0,1,2,0
splacona,300,32,mezczyzna,11,2100,2,62,48,9
splacona_cz,400,68,kobieta,16,980,2,130,48,1
odmowa,400,42,kobieta,11,960,0,4,48,0
splacona,412.72,33,kobieta,11,1400,1,100,48,9
splacona_cz,694,38,kobieta,11,1900,2,208,48,3
windykacja,200,37,mezczyzna,12,950,1,5,10,2647
splacona_cz,328,60,mezczyzna,12,1000,2,10,1,4
splacona_cz,328.32,50,kobieta,12,1000,2,30,0,4
splacona_cz,500,62,kobieta,13,1900,2,87,48,1
splacona_cz,600,56,mezczyzna,11,3335,2,436,48,2
splacona_cz,377.69,40,kobieta,11,1087,1,239,48,5
odmowa,300,50,mezczyzna,16,639.31,0,250,48,0
splacona_cz,700,61,kobieta,13,2066,2,128,48,1
splacona_cz,253.12,61,kobieta,13,975,2,25,48,3
odmowa,1000,37,mezczyzna,11,2424.72,0,65,48,0
odmowa,500,53,mezczyzna,11,2094.17,0,241,48,0
odmowa,1000,54,kobieta,11,2575.31,0,193,48,0
splacona_cz,500,60,mezczyzna,11,2250.05,0,176,48,1
splacona_cz,300,64,mezczyzna,12,1100,2,20,16,1
splacona_cz,700,61,kobieta,13,1977,0,53,48,3
odmowa,200,41,kobieta,11,993.48,0,165,48,0
splacona,200,68,kobieta,13,1134.96,2,161,48,16
splacona_cz,200,62,mezczyzna,13,1287.66,1,95,48,2
splacona_cz,200,63,mezczyzna,13,1538,2,100,48,3
splacona_cz,300,71,mezczyzna,13,1426,2,76,48,0
odmowa,200,58,mezczyzna,12,1200,0,0,24,0
splacona_cz,300,55,kobieta,98,980,1,7,48,1
splacona_cz,300,45,mezczyzna,12,670,2,7,5,0
splacona_cz,500,43,mezczyzna,98,3178,2,201,48,2
splacona,517.26,58,kobieta,13,1801.41,2,35,48,10
splacona_cz,1100,42,mezczyzna,11,2875.71,2,279,48,6
odmowa,300,39,kobieta,12,1030,0,19,5,0
splacona_cz,200,74,kobieta,13,1026,2,248,48,1
splacona_cz,200,71,kobieta,13,1185.33,2,225,48,0
splacona,900,33,kobieta,11,2200,0,35,48,0
splacona,200,73,mezczyzna,13,957.2,1,197,48,264
splacona,336.83,66,kobieta,13,815,1,144,48,0
splacona_cz,400,64,kobieta,13,840,0,112,48,0
odmowa,300,62,kobieta,13,933.05,0,84,48,0
odmowa,1000,59,kobieta,16,1820,0,23,48,0
splacona_cz,285.97,37,kobieta,98,1200,2,44,48,2
splacona_cz,200,31,kobieta,12,1032.34,2,2,9,0
odmowa,1000,30,mezczyzna,11,1510.08,0,14,48,0
splacona_cz,300,39,kobieta,12,1027,2,6,48,5
splacona_cz,277.34,39,kobieta,11,1770,2,86,48,1
splacona_cz,800,62,kobieta,13,3700,2,24,48,0
odmowa,200,23,mezczyzna,11,1032,0,24,48,0
splacona,400,42,mezczyzna,11,3500,2,26,48,139
splacona_cz,200,54,kobieta,11,1400,2,116,48,1
splacona_cz,300,45,kobieta,11,763,2,92,48,1
splacona_cz,200,57,kobieta,13,1083.23,0,96,48,1
splacona,500,62,mezczyzna,13,1272,1,14,48,270
splacona_cz,250,61,mezczyzna,99,685,2,3,0,4
splacona,200,78,mezczyzna,13,1519,0,255,48,0
splacona_cz,200,68,kobieta,13,803.86,2,157,48,1
odmowa,800,30,mezczyzna,12,1743,0,11,5,0
odmowa,500,62,mezczyzna,12,961,0,76,5,0
splacona_cz,400,63,mezczyzna,13,1193.65,1,7,48,1
splacona,200,46,mezczyzna,11,1566.82,0,352,48,0
odmowa,500,25,mezczyzna,12,1032.34,0,15,17,0
splacona_cz,200,66,kobieta,13,1031,0,120,48,0
splacona,400,59,kobieta,13,1149.06,1,161,48,47
splacona,400,72,kobieta,13,1412,2,204,48,19
splacona,381.29,65,mezczyzna,13,1591,2,75,48,12
splacona,200,64,kobieta,16,755.1,1,133,48,12
splacona_cz,327,51,kobieta,11,2065.98,2,179,48,7
splacona,300,27,mezczyzna,12,1400,1,7,17,5
splacona,800,34,mezczyzna,12,1500,0,31,5,0
splacona,789.27,63,kobieta,13,860,2,78,48,11
odmowa,300,52,kobieta,11,1079,0,177,48,0
splacona_cz,400,53,kobieta,11,2800,2,58,48,3
splacona,200,79,kobieta,13,1167.94,0,372,48,0
splacona,700,71,mezczyzna,13,2802,2,248,48,307
splacona_cz,200,50,mezczyzna,16,1045,1,200,48,0
windykacja,500,58,mezczyzna,17,1485,2,143,46,2642
odmowa,200,23,mezczyzna,12,1035,0,1,0,0
splacona_cz,300,39,mezczyzna,11,1300,2,43,48,0
odmowa,800,43,kobieta,12,1792,0,157,1,0
splacona_cz,200,62,mezczyzna,13,1162,2,222,48,2
splacona,300,67,kobieta,13,1094,1,184,48,4
splacona_cz,200,60,kobieta,13,1635,2,119,48,0
odmowa,1000,41,mezczyzna,98,30000,0,73,48,0
odmowa,300,39,kobieta,11,1033.52,0,76,48,0
splacona_cz,300,62,kobieta,13,917,0,75,48,0
splacona_cz,600,67,kobieta,13,2120,2,118,48,3
splacona,200,62,kobieta,13,985.9,0,89,48,292
splacona_cz,400,62,mezczyzna,16,1313.41,2,25,48,0
splacona_cz,400,63,kobieta,13,1233,1,122,48,0
splacona_cz,300,65,mezczyzna,13,1611,0,141,48,3
splacona_cz,200,56,mezczyzna,13,819,0,55,48,0
splacona_cz,500,62,kobieta,13,714,3,223,48,1
splacona_cz,500,44,kobieta,11,3000,2,92,48,0
windykacja_sp,470.41,66,kobieta,13,919,2,141,48,430
splacona_cz,600,40,kobieta,98,5000,1,83,48,7
splacona_cz,250,40,mezczyzna,12,700,2,7,17,8
splacona_cz,500,73,kobieta,13,951,2,162,48,1
splacona_cz,400,64,kobieta,13,1013.74,2,112,48,1
splacona_cz,400,58,kobieta,11,1500,1,84,48,1
odmowa,200,57,kobieta,13,1145.25,0,21,48,0
windykacja,300,38,kobieta,11,1200,2,190,48,2640
splacona_cz,521.49,62,kobieta,13,1525.46,2,34,48,0
splacona_cz,700,60,kobieta,13,5100,2,26,48,0
splacona,200,24,mezczyzna,11,2327.94,0,33,48,0
splacona_cz,241.15,54,mezczyzna,12,1030,2,6,18,5
splacona,600,46,mezczyzna,11,2000,0,49,48,0
splacona_cz,900,55,kobieta,16,2300,3,61,48,0
odmowa,400,47,kobieta,11,1796,0,315,48,0
splacona_cz,400,39,kobieta,12,660,2,9,28,3
splacona_cz,300,55,kobieta,12,1009.34,1,27,41,2
splacona,200,51,mezczyzna,12,1030,2,7,48,11
splacona,400,56,mezczyzna,12,1600,0,32,28,0
splacona_cz,400,60,kobieta,13,1425,0,78,48,1
splacona_cz,281.29,55,kobieta,12,1350,2,20,4,1
splacona_cz,200,24,mezczyzna,12,1000,3,9,15,8
splacona_cz,600,53,kobieta,12,1675,2,7,4,2
odmowa,500,66,kobieta,13,717.96,0,80,48,0
splacona_cz,700,28,mezczyzna,12,1800,2,8,0,0
odmowa,300,19,mezczyzna,12,1227,0,0,11,0
splacona,200,63,kobieta,13,856,2,56,48,1
splacona,300,38,mezczyzna,11,2700,1,7,48,0
windykacja_sp,300,66,mezczyzna,13,1300,1,77,48,345
