@relation 'XXXXXXL2 2'

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja_sp,windykacja}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,400,28,mezczyzna,12,900,1,14,6,1
splacona_cz,673.09,63,kobieta,13,930,1,91,48,5
splacona,400,55,mezczyzna,11,1600,0,45,48,406
splacona_cz,500,49,mezczyzna,11,3250,0,1,48,3
splacona,200,67,mezczyzna,13,1250,0,64,48,0
splacona_cz,200,64,kobieta,13,802.83,0,200,48,0
splacona,250,60,kobieta,13,634.64,0,8,48,0
splacona_cz,900,59,kobieta,13,1370,0,73,48,2
splacona_cz,300,43,kobieta,11,1400,1,21,48,0
splacona,200,51,mezczyzna,17,749.74,1,109,27,0
splacona,900,33,kobieta,11,2200,0,33,48,0
splacona,200,64,kobieta,13,670,1,63,48,0
splacona_cz,281.29,52,kobieta,11,1700,1,204,48,0
odmowa,200,43,mezczyzna,98,450,0,1,48,0
splacona,500,60,mezczyzna,11,2250.05,1,174,48,14
splacona,300,42,kobieta,99,645.31,0,6,5,0
splacona_cz,200,55,kobieta,11,1187.06,0,131,48,0
splacona_cz,400,61,kobieta,13,1090.14,0,72,48,0
splacona_cz,200,71,kobieta,13,785,0,61,48,0
splacona_cz,700,71,mezczyzna,13,2802,1,247,48,16
splacona_cz,400,50,kobieta,11,1577.42,1,204,48,1
splacona,626.61,37,mezczyzna,12,3000,1,3,6,29
splacona,200,52,mezczyzna,12,1210,0,3,6,0
odmowa,1000,38,mezczyzna,11,3600,0,49,48,0
splacona_cz,300,60,mezczyzna,99,611.36,0,8,4,0
splacona_cz,500,31,mezczyzna,11,2700,1,11,48,0
splacona_cz,300,47,mezczyzna,12,600,1,5,22,0
splacona_cz,200,24,kobieta,17,1200,1,163,18,0
splacona_cz,300,47,kobieta,11,1077.49,0,373,48,0
splacona_cz,400,70,kobieta,13,1291.18,1,76,48,0
splacona_cz,400,33,mezczyzna,11,1033,0,32,48,3
splacona_cz,500,48,kobieta,11,1800,1,50,48,2
